1,158,41.58
2,158.1,42.14
3,158,42.81
4,157.3,43.08
5,156.9,43.57
6,155.9,43.2
7,155.7,43.27
8,154.7,43.27
9,50.3,-19.71
10,43.5,-23.71
11,43.7,-23.59
12,43.5,-23.84
13,43.6,-23.72
14,43.6,-23.74
15,43.6,-23.85
16,43.6,-23.9
17,43.6,-23.9
18,43.7,-23.8
19,43.8,-23.83
20,43.8,-23.8
21,43.7,-23.77
22,43.7,-23.82
23,43.7,-23.87
24,43.8,-23.88
25,43.8,-23.86
26,43.8,-23.87
27,43.8,-23.82
28,43.7,-23.92
29,43.6,-24.03
30,43.9,-23.77
31,43.9,-23.76
32,63.7,-16.63
33,169.1,44.43
34,153.4,45.78
35,156.3,45.7
36,159,45.38
37,160.7,45.42
38,161.1,45.1
39,161.1,45.35
40,160.8,45.25
41,159.9,45.15
42,159.5,45.16
43,159.2,45.21
44,158,45.04
45,157.9,45.46
46,157.2,45.43
47,156.5,45.18
48,98.7,9.75
49,44,-23.54
50,43.9,-23.63
51,43.9,-23.61
52,43.9,-23.64
53,43.9,-23.67
54,43.9,-23.66
55,44.1,-23.61
56,44,-23.62
57,44,-23.64
58,43.9,-23.68
59,44,-23.68
60,44,-23.59
61,44.1,-23.44
62,44,-23.45
63,44.1,-23.52
64,44,-23.54
65,43.9,-23.64
66,43.9,-23.59
67,44,-23.56
68,44,-23.5
69,44,-23.51
70,44,-23.6
71,44.1,-23.46
72,141.5,23.49
73,154.8,45.87
74,155.5,45.79
75,158.3,45.89
76,160.3,45.49
77,161,45.12
78,160.5,44.47
79,160.3,44.22
80,159.4,44.53
81,160.1,44.94
82,158.9,45.08
83,158.2,44.45
84,157.7,45.04
85,157.5,45.48
86,157,45.48
87,155.5,44.44
88,44.2,-23.38
89,44.2,-23.37
90,44.2,-23.37
91,44.2,-23.45
92,44.2,-23.35
93,44.2,-23.23
94,44.2,-23.24
95,44.3,-23.19
96,44.2,-23.28
97,44.1,-23.27
98,44.3,-23.17
99,44.1,-23.33
100,44.3,-23.19
101,44.3,-23.13
102,44.3,-23.09
103,44.2,-23.19
104,44.2,-23.17
105,44.2,-23.19
106,44.3,-23.1
107,44.3,-23.18
108,44.2,-23.17
109,44.2,-23.19
110,44.1,-23.27
111,81.1,-8.05
112,165.4,45.39
113,154.2,46.41
114,156.8,46.02
115,159.3,45.7
116,161.1,45.28
117,161,45.2
118,161.1,45.2
119,161,45.56
120,160.6,45.75
121,159.8,45.72
122,159.2,45.37
123,157.9,45.22
124,157.9,45.49
125,157.3,45.78
126,156.6,45.38
127,91.4,5.63
128,44.2,-23.35
129,44.3,-23.31
130,44.4,-23.15
131,44.4,-23.19
132,44.3,-23.3
133,44.2,-23.37
134,44.2,-23.37
135,44.2,-23.48
136,44.3,-23.39
137,44.2,-23.41
138,44.1,-23.45
139,44.4,-23.15
140,44.4,-23.05
141,44.4,-23.14
142,44.2,-23.35
143,44.3,-23.32
144,44.4,-23.21
145,44.4,-23.2
146,44.4,-23.16
147,44.4,-23.25
148,44.3,-23.26
149,44.2,-23.38
150,44.4,-23.24
151,156.2,32.83
152,155,47.39
153,156,47.41
154,158.4,46.71
155,160.5,46.62
156,162,46.8
157,161.9,46.33
158,161.8,46.76
159,161.3,46.27
160,160,45.54
161,159.4,45.75
162,158.6,46.22
163,158.7,46.73
164,157.8,46.25
165,157.1,45.8
166,150.6,42.17
167,44.2,-23.12
168,44.1,-23.28
169,44.3,-23.11
170,44.3,-23.16
171,44.4,-23.16
172,44.4,-23.22
173,44.3,-23.15
174,44.3,-23.23
175,44.1,-23.4
176,44.2,-23.38
177,44.3,-23.26
178,44.3,-23.14
179,50,-21.62
180,54.2,-18.69
181,1221.6,-161.14
182,2306.9,-297.2
183,2300.7,-296.41
184,226.8,-24.03
185,280.4,-25.88
186,276.5,-29.71
187,292.1,-43.13
188,311.7,-44.18
189,268,-44.26
190,369.5,-22.9
191,431,21.37
192,399.4,25.99
193,437.1,23.27
194,3039.1,32.71
195,3319.5,55.46
196,2828,-130.32
197,2334.2,-248.65
198,2326.8,-243.52
199,2269.2,-243.4
200,2272,-244.96
201,2269.6,-245.3
202,2166.1,-231.02
203,197.6,35.04
204,222.3,36.2
205,279.9,34.41
206,304.7,34.64
207,249.1,33.3
208,169.6,-23.78
209,115.2,-36.58
210,172.1,-37.73
211,190.2,-33.8
212,130.6,-33.42
213,137.7,-33.89
214,93.9,-3.2
215,88,-1.49
216,87.6,-0.85
217,87.8,-0.73
218,88.2,-1.03
219,77.3,-27.57
220,104.1,-30.54
221,130,-32.01
222,167,-26.02
223,89,-1.25
224,87.5,-0.86
225,81.6,-20.66
226,74.2,-29.01
227,160.5,-32.44
228,137.6,-33.52
229,118.9,-4.11
230,87.8,-1.26
231,213.6,54.3
232,185.1,41.76
233,247.1,36.86
234,293.4,-24.96
235,232.7,-51.22
236,196.1,-50.35
237,200.7,-52.22
238,201.8,-52.7
239,198.2,-51.23
240,270,-38.46
241,282.7,-22.7
242,287.2,-23.34
243,245.7,-18.6
244,299.2,-19.6
245,587.7,45.23
246,930.2,152.02
247,929.2,142.79
248,240.3,-4.05
249,191.9,-14.15
250,183.4,-27.35
251,171.6,-45.3
252,171.1,-45.2
253,171.5,-45.17
254,168.8,-44.69
255,46,-25.17
256,46,-25.25
257,46.1,-24.99
258,46.1,-25.09
259,46,-25.26
260,45.6,-25.57
